ID,RBD,LONGITUD,LATITUD,NOM_RBD
629,787,-70.73187299999999,-30.313999000000000,ESCUELA BASICA MORRILLOS
630,788,-70.71556900000000,-30.294580000000000,ESCUELA BASICA VADO DE MORRILLOS
631,789,-70.90585299999999,-30.412609000000000,ESCUELA EL ESPINAL DE RIO HURTADO
632,790,-70.81986200000000,-30.509220000000000,ESCUELA BASICA EL ROMERAL
634,792,-70.76226000000000,-30.465340000000000,ESCUELA BASICA ESTANCIA EL SAUCE
635,793,-70.74468200000000,-30.334249000000000,ESCUELA BASICA DE SERON
636,795,-71.12875400000000,-30.369690000000000,ESC.BASICA DOMINGO SANTA MARIA GONZALEZ
637,797,-70.69238300000001,-30.354670000000000,ESCUELA LOS MAITENES DE SERON
638,798,-70.94420599999999,-30.770201000000000,ESCUELA EL PALQUI
639,799,-70.95552100000000,-30.690420000000000,COLEGIO REPUBLICA DE CHILE
640,800,-70.98166700000000,-30.840000000000000,ESCUELA HUATULAME
641,802,-70.95880900000000,-30.697180000000000,LICEO PRESIDENTE EDUARDO FREI MONTALVA
642,803,-70.77114899999999,-30.963209000000000,ESC.CONCENTRACION FRONTERIZA DE TULAHUEN
643,804,-70.77352100000000,-30.723490000000000,ESCUELA BASICA WENCESLAO VARGAS
644,805,-70.65384700000000,-30.830580000000000,ESCUELA EL MAQUI
645,806,-70.58000900000000,-31.016870000000000,ESCUELA FRONTERA LAS RAMADAS
646,807,-70.59603900000000,-30.805771000000000,ESCUELA EL MAITEN
647,808,-70.71807123,-31.00357425,ESCUELA BASICA TULAHUEN PONIENTE
648,809,-71.04441799999999,-30.762159000000000,ESCUELA DE HUANILLA
649,810,-70.59973100000001,-30.743620000000000,ESCUELA CENTRAL HIDROELECTRICA LOS MOLLE
650,811,-70.75275634,-30.73688668,ESCUELA VARILLAR
651,812,-70.72648599999999,-30.755600000000000,ESCUELA SOL DE LAS PRADERAS
652,813,-70.81820700000000,-30.783640000000000,ESCUELA BASICA LA UNION
653,814,-70.73887600000000,-30.977180000000000,ESCUELA BASICA EL TAYAN
654,816,-70.94785299999999,-30.637720000000000,ESCUELA GUSTAVO CONTRERAS CASTRO
655,817,-70.61018400000000,-31.025869000000000,ESCUELA NUEVA ESPERANZA DE PEJERREYES
656,818,-70.70854900000000,-30.764469000000000,ESCUELA LOS CLONQUIS
657,819,-70.68566900000000,-30.765690000000000,ESCUELA BUENAVENTURA
658,820,-70.77468900000000,-30.929070000000000,ESCUELA SOL DEL CUYANO
659,821,-70.92611700000000,-30.702641000000000,ESCUELA DE FLOR DEL VALLE
660,822,-70.87995900000000,-30.711651000000000,ESCUELA JUNTAS
661,823,-70.74198199999999,-30.851761000000000,ESCUELA BASICA COLLIGUAY
662,824,-70.65264100000000,-30.754869000000000,ESCUELA HEROES DE CHILE
663,825,-70.80046800000000,-30.823860000000000,ESCUELA BASICA PABLO NERUDA
664,826,-70.67537700000000,-30.751860000000000,ESCUELA BASICA HACIENDA VALDIVIA
665,827,-70.77108800000001,-30.855209000000000,COLEGIO RIO GRANDE
666,828,-70.66477164,-31.01432244,ESCUELA FLOR DE LOS ANDES
667,830,-70.97326700000001,-30.819361000000000,ESCUELA MARCELA PAZ
668,831,-70.66075897,-30.89405632,ESCUELA VALLE NEVADO
669,833,-70.70758800000000,-30.854130000000000,ESCUELA SANTA BERNARDITA
670,834,-70.66630614,-30.83903266,ESCUELA SARGENTO CANDELARIA PEREZ
671,835,-70.77372699999999,-30.883619000000000,ESCUELA CARMELA PRAT
672,836,-70.81041000000000,-30.716270000000000,ESCUELA INES DE SUAREZ
673,837,-70.95995300000000,-30.705971000000000,ESCUELA ESPERANZA DE HUANA
674,838,-70.85684999999999,-30.752810000000000,ESCUELA PROFESOR MANUEL ORTIZ QUINTANA
